1148590,"Doom 64: Absolution",1,,,0.37
4720,"Condemned: Criminal Origins",7,8,13,1
300550,"Shadowrun: Dragonfall - Director's Cut",21,30,42,1
8210,"Sam & Max 102: Situation: Comedy",2,2,2,1
31260,"Sam & Max 305: The City That Dares Not Sleep",3,3,3,1
239030,"Papers, Please",5,8,16,1
9400,"Juiced 2: Hot Import Nights",16,19,21,1
268870,"Satellite Reign",21,30,39,1
6300,"Dreamfall: The Longest Journey",12,13,15,1
2340,"Quake II: Ground Zero",5,6,8,1
1032730,"Sticks And Bones",1,,,1
8270,"Sam & Max 202: Moai Better Blues",2,2,3,1
431930,"Kabounce",,10,,1
204100,"Max Payne 3",10,13,32,1
238210,"System Shock 2",14,17,23,1
13600,"Prince of Persia: The Sands of Time",9,10,10,1
13600,"Prince of Persia: The Sands of Time Remake",,,,0.83
2300,"Doom II: Hell on Earth",7,10,14,0.32
2300,"Master Levels for Doom II",7,8,9,0.28
2300,"Doom: Sigil II",2,,,0.5
2300,"Phantasy Star III: Generations of Doom",17,20,22,0.08
2300,"Ninja Gaiden III: The Ancient Ship of Doom",2,3,5,0.1
2300,"Hugo III: Jungle of Doom",1,,,0.13
2300,"Doom II: Unofficial WADs",,,,0.29
2300,"Doom II RPG",4,4,13,0.64
2300,"Doom II: Syringe",2,2,,0.44
2300,"Garfield's Scary Scavenger Hunt II: Donuts of Doom",,,,0.08
2300,"Doom II: No Rest for the Living",2,3,4,0.23
2300,"Epic (Doom II)",2,,,0.5
234510,"Rising Storm",7,,,1
234510,"Rising Storm 2: Vietnam",1,,,0.52
12210,"Grand Theft Auto IV: The Complete Edition",33,54,102,1
12830,"Operation Flashpoint: Dragon Rising",12,15,19,1
19830,"Tom Clancy's Rainbow Six 3: Gold Edition",9,30,59,1
9070,"Doom 3: Resurrection of Evil",4,5,6,1
6310,"The Longest Journey",18,21,22,1
6310,"Dreamfall: The Longest Journey",12,13,15,0.63
253980,"Enclave",8,12,16,1
253980,"Siege of Turtle Enclave",,,,0.3
99300,"Renegade Ops",5,7,13,1
99300,"Renegade Ops: Coldstrike DLC",1,1,2,0.43
7000,"Tomb Raider: Legend",7,9,15,1
360,"Half-Life Deathmatch: Source",3,4,5,1
8200,"Sam & Max 101: Culture Shock",2,3,3,1
96000,"The Tiny Bang Story",4,4,4,1
596970,"Sunless Skies",29,68,106,1
233700,"Sword of the Stars: The Pit",27,40,55,1
233700,"Sword of the Stars: The Pit 2",,,,0.93
15710,"Oddworld: Abe's Exoddus",15,15,15,1
210770,"Sanctum 2",12,30,59,1
17410,"Mirror's Edge",6,8,12,1
17410,"Mirror's Edge (Mobile)",2,3,,0.59
17410,"Mirror's Edge: Catalyst",8,13,32,0.57
17410,"Mirror's Edge - Pure Time Trials",,,9,0.41
683320,"GRIS",4,4,6,1
683320,"The Fruit of Grisaia",23,47,68,0.2
683320,"Langrisser I & II",20,31,56,0.24
683320,"Grisaia Phantom Trigger Vol.8",5,,11,0.14
683320,"The Leisure of Grisaia",1,1,1,0.18
683320,"Grisaia Phantom Trigger Vol.7",5,,6,0.14
683320,"Grisaia Phantom Trigger Vol.5.5",2,,3,0.13
683320,"Grisaia Phantom Trigger Vol.6",3,,3,0.14
683320,"Warsong",24,28,29,0.14
683320,"Grisaia Phantom Trigger Vol.2",3,,3,0.14
683320,"Langrisser IV",65,,,0.31
683320,"Grisaia Phantom Trigger Vol.1",3,,3,0.14
683320,"The Melody of Grisaia",1,1,2,0.19
683320,"The Afterglow of Grisaia",2,3,3,0.17
683320,"Langrisser Millennium",,,,0.19
683320,"Langrisser Re:Incarnation Tensei",19,43,,0.13
683320,"The Eden of Grisaia",23,27,38,0.21
683320,"The Labyrinth of Grisaia",10,22,33,0.17
683320,"Langrisser III",,,,0.29
683320,"Langrisser V: The End of Legend",,,,0.13
255520,"Viscera Cleanup Detail: Shadow Warrior",2,2,2,1
271260,"Star Control: Origins",12,30,30,1
32800,"The Lord of the Rings: War in the North",12,16,29,1
544330,"Snake Pass",5,9,12,1
318600,"The Flame in the Flood",9,14,50,1
22200,"Zeno Clash",4,5,9,1
22200,"Zeno Clash II",6,8,9,0.77
2225070,"TrackMania",7,47,281,1
2225070,"TrackMania",7,8,22,1
2225070,"TrackMania Nations Forever",12,45,139,0.38
